intent,question
3,what is kathmandu known for
3,where is mark sanchez from
3,who is paul avery to the zodiac killings
3,what is sump pump  used for
3,when was bloody kansas in
3,What Is Benzene Used For
3,what is homebrew for wii?
3,where is cougar town filmed
3,who was bush's national security advisor
3,who was bush's national security advisor
3,what is another name for the large intestine
3,where is green bay packers from
3,where is the valley at in los angeles
3,when was the world of coca cola built
3,when is susan smith eligible for parole
3,what is the highest mountain in america and where is is located?
3,what was the first honda car
3,what was the first honda car
3,when was everybody hates chris made
3,what is lung effusion
3,what is the population of san francisco
3,who is the writer of the beowulf poem?
3,who is shem in the bible
3,who is shem in the bible
3,what is go daddy.com?
3,where is andy whitfield from?
3,where is the country andorra located
3,what is the highest point in oahu
3,what is spelt flour
3,what is spelt flour
3,what is sherlock holmes job
3,what is sherlock holmes job
3,where is kennywood in pittsburgh
3,what is social security card used for
3,what is the minimalist trend
3,Who is the rap singer in right round with kesha in the background? *(dancer)*
3,who is the current Chief Justice of the U.S. supreme court?
3,what is rock of ages about
3,when was the american labor union formed
3,what is the largest credit union
3,what is the singer Stevie Wonders full name
3,what is definition of psychotic
3,Who is General Grievous of Star Wars
3,where is scotty mccreery from
3,what is general chu chicken
3,where is david ortiz from
3,what is an irregular heartbeat pvc
3,what is an irregular heartbeat pvc
3,what is flour made from
3,what is my resting heart rate at age 24
3,what is the name for an old horse-drawn vehicle
3,where was the tsunami in 2005
3,what is the source of geothermal energy
3,what is cubic ft
3,when was kirstie alley on cheers
3,who was ho chi minh in vietnam war
3,what is another name for cpu
3,who was charged with murder after the massacre at My lai
3,what was the city of Mithridates
3,what is metal music about
3,what is metal music about
3,what is extreme right wing
3,what is extreme right wing
3,what is the title of Hobbes main work
3,what is high emotional intelligence?
3,what is the role of heredity
3,what is the role of heredity
3,what is prefix phone number
3,what is metformin used for
3,what is metformin used for
3,what is the cabin pressure of us airlines
3,what is the cabin pressure of us airlines
3,what is it like at mount rushmore?
3,what is buttoned-down shirt?
3,when is administrative assistant day
3,where is keith whitley from
3,who is basketball star antoine walker
3,where are the internal and external iliac arteries
3,what is steam by valve corporation
3,where is the Rhine river located on a map
3,what is sanskrit shri
3,what is civil engineering aBOUT
3,WHere is a famous alluvial plain
3,Where is South Beach in Miami
3,who was john f kennedy up against
3,what is the controlled substance act known as
3,what is the si unit of pressure
3,what is the great basin area
3,when was fdr elected as president
3,where was ms-13 originally from
3,what is bones job
3,where was the super bowl in 1991
3,when was malcolm x assassinated
3,when was malcolm x assassinated
3,who are the characters in 90210 in season 3
3,when was queen elizabeth ii married
3,where is penn state stadium
3,what is in a tequila sunrise?
3,where are facial sinuses
3,what is lean manufacturing and who developed
3,what is lean manufacturing and who developed
3,who is is the singer westlife
3,what is vitamin a for
3,what is vitamin a for
3,what is the capital city of california.
3,when is it memorial day
3,"What was ""Freedom Summer""?"
3,"What was ""Freedom Summer""?"
3,what is the function of the liver
3,what is the function of the liver
3,what is the formula for calcium nitrate
3,where is dia de los muertos celebrated
3,where is the 2011 mlb all star game location
3,what was the Name the first electronic handheld calculator
3,when was washington elected president
3,where is the island New Guinea?
3,what is in milk
3,what is in milk
3,What is motorcycle speedway racing
3,what is customary at shiva
3,what is customary at shiva
3,what is customary at shiva
3,who is the guy in the wheelchair who is smart
3,what is in a hot toddy
3,what is honey bee propolis
3,what is honey bee propolis
3,when was steven tyler born
3,what is name of national anthem song of switzerland
3,what is blood urea
3,what is blood urea
3,where are the most concentration of jews living
3,what is corpus christi holiday
3,who was the first european in the americas
3,where is testosterone produced
3,where is testosterone produced
3,where is testosterone produced
3,what is the difference between multistage and cluster sampling
3,where is jamestown north carolina
3,what is cu the element
3,what was the parthenon used for
3,what is stepwise linear regression
3,when was jamestown colonized
3,what was the first year of kentucky derby
3,who is on the $10. bill
3,when was andy griffith born
3,what is the definition of a hung jury
3,who is norah jones parents
3,what is the capacity of the cowboy stadium
3,what is the capacity of the cowboy stadium
3,what is Carbon 14 dating is a type of ?
3,what is the color puce
3,when was the battle at tombstone fought
3,where was jfk buried
3,what is the population of algoma wi for 2010
3,what is renaissance english
3,Who is the husband of Betty Ford
3,what was Coco Chanel's real first name?
3,what is grist mill stone
3,who is Dr. JB Danquah
3,where is big pokey from
3,what is baklava recipe
3,what is the rule of the 9s
3,where  is kj 52 from
3,what is the sign for degrees
3,what is the sign for degrees
3,what is the prognosis of stomach cancer
3,who is carlos pena on big time rush
3,what is el mate
3,what is dave batista doing now
3,WHO IS HENRY SAMPSON JR.
3,where is the arctic circle located on the earth
3,what is the erb/heart
3,when was pokemon first started
3,where are colors on stoplight
3,where are colors on stoplight
3,where are colors on stoplight
3,where are colors on stoplight
3,what is the fundamental theorem of calculus used for
3,what is the fundamental theorem of calculus used for
3,what is nicki minaj real name
3,what is the disease osteonecrosis of the jaw?
3,what is the disease osteonecrosis of the jaw?
3,what is mincemeat made of
3,who is suicide tna
3,where is hickory located nc
3,what is Polyester in packaging PET
3,what was the GE building in rockefeller plaza called before.
3,who are the two senators of louisiana
3,who is director jack smight
3,what is dmitri mendeleev 4
3,what is dmitri mendeleev 4
3,where is modesto california
3,what is the female symbol called
3,who is st patty?
3,what is leasehold; real estate
3,when was Mary Anderson born
3,WHO WAS IN THE MOVIE I CONFESS WITH MONTGOMERY CLIFT
3,WHAT IS THE LENGTH OF A NAUTICAL MILE
3,what is black hairy tongue disease
3,what is firewire used for
3,when was srv born
3,what is stent surgery
3,what is ethernet gigabit
3,where is the tibia location
3,what is tofu made of
3,Where is Bubbles the Chimp now
3,what is muse's lead singer's name
3,where is bloemfontein in africa
3,What is the prostate for?
3,what is in the preamble of the constitution
3,when was the internet started
3,where is rolling rock brewed
3,when was Pope Benedict XVI elected?
3,Who was John Adam's children
3,who was on the 10 dollar bill
3,what is water jet propulsion
3,where is the sermon on the mount in the bible
3,who is E from entourage
3,what is article 5 about
3,what is the political tea party
3,what is puerto rico currency
3,What is the function of albumin?
3,who is ezekiel in the bible
3,where are the ten commandments in the bible
3,what is endodontic dentistry
3,who is the junior senator of nc
3,who is heisman trophy named after
3,what is sado masochism
3,where are Giant Panda Bears found?
3,where is loxahatchee fl at
3,where is loxahatchee fl at
3,what is the format of the canadian citizenship test
3,what is chicken chow mein
3,What is up with Kent Hovind
3,what is the oath of allegiance of the united states
3,what is that dot on the forehead of indian women\
3,where is good morning america studio
3,what is primary medicine
3,what is primary medicine
3,where is Desmanthus Illinoensis found
3,when was the first super bowl
3,what is the origin of fiona
3,what is the official language of america?
3,what is auto quarter panel
3,"where is shropshire, uk"
3,when was pearl harbor bombed
3,what is the la tour de france
3,what is the social norm approach?
3,what is associates arts degree
3,what is vat tax?
3,what is high sticking in hockey
3,what is an sd memory card reader
3,"What was Captain Ahab's Ship in the novel ""Moby Dick"""
3,when was the trogan war
3,where is the palatine canal
3,what is the lowest temperature ever recorded in antarctica
3,what is oregon institute of technology like
3,When Is Passover Over
3,when is halley's comet next
3,what is soy made from
3,what is linkedin used for
3,"WHERE IS ROUGH AND READY, CA"
3,"WHERE IS ROUGH AND READY, CA"
3,where is rashard lewis from???
3,what is doxycycline hyclate used for
3,what is sodium hypochlorite solution
3,what is sodium hypochlorite solution
3,what is captcha code
3,when was jacques cousteau born
3,where was the fugitive slave law made
3,who is in the group trinity 5 7
3,what is eic earned income credit
3,when is international men's day
3,where is valley village ca
3,What is sign of cancer
3,when was the patriot act enacted
3,when was the tacoma bridge collapse?
3,what is brown flax
3,what is a gsm cell phone
3,what was the cash and carry lend lease
3,what was the cash and carry lend lease
3,what is el morro in puerto rico
3,where are poison dart frog seen
3,where were the Winter Olympics in 2006
3,when was the lady gaga judas song released
3,when was the lady gaga judas song released
3,what is mpeg4  avc or sp/asp
3,WHAT IS NON BINDING?
3,who was mr big on sex and the city
3,what is the actresses name that played in walk that line?
3,what is the definition of a map
3,where is university of nelson mandela metropolitan located
3,when was How the west was won filmed?
3,who is on blink 182 album cover
3,What is the name of the late Major League  old professor
3,when was the constitution written
3,what is the use of a sales invoice?
3,what was the actress who played the pink power ranger
3,what is squash the sport
3,where is the world cup in 2010
3,when was the great fire in chicago
3,what is hosting a website
3,when was the first nfl madden game released
3,what is pci Interface
3,what is jagger bombs
3,what is the name of mountains along california
3,who is the author of tree grows in brooklyn
3,where is al jazeera based
3,what is the purpose of child support?
3,where was martin luther king shot?
3,who is the mayor of chicago 2011
3,when is the wv state fair
3,when was the state of utah established
3,what is the location of coldwater ms
3,what is the location of coldwater ms
3,what is the function of the hard palate
3,where is Chayanne from?
3,when is world war hulk movie come
3,WHERE WAS JOHN WAYNE BORN
3,what is the difference between alpha lipoic acid and lipoic acid
3,what is the organic layer in an amoled screen
3,what is eggnog made of
3,what is gravy made of
3,what is gravy made of
3,what is bourbon made of
3,what is cta used for
3,what is vitamin b12 used for
3,what is vitamin b12 used for
3,What is the the North American Free Trade Agreement?
3,what is tmz stand for
3,what is impingement of the shoulder
3,where is La Palma africa
3,where was hillary clinton born
3,who was the first one to invent medicine
3,When was 27th amendment proposed
3,what is singapore's currency
3,Who was Daniel J Daly?
3,where was paul revere born
3,what is the plot of the shawshank redemption?
3,what is an information technology manager
3,what is the scientific name of a cardinal bird
3,where are kenworth trucks built
3,what is the type of democracy in which all citizens have the right to make  government decisions
3,when is the feast of St. Rita
3,where is j.cole from
3,what is ratchet from ratchet and clank
3,where was the first real roller coaster
3,what is in a will
3,what is the gdp for greenland 2010?
3,What is hydrogen in
3,where is UWA on world list of universities
3,what is bracketing in photography
3,What is the disk defragmenter tool
3,what is level of agreement mean
3,when was purple haze by jimi hendrix made?
3,where was martin luther born
3,who is the actor that plays harry potter
3,"what is the concept of ""wellness"" ?"
3,what is the mortality rate of sepsis
3,where is kos from?
3,what is the defensive line in football called
3,what is the measurements of saturn's moons
3,what is the @ sign called?
3,who is the book the catcher in the rye by?
3,who are the girls from the bad girls club?
3,what is prince williams last name
3,what is IBRIX
3,what is bilirubin total
3,what was bernie madoff selling
3,what is quasi judicial agency
3,who is inventor of the radio
3,who is the founder of twitter
3,what is scurvy disease
3,what is google openid
3,who is bj's wholesale club
3,what is atherosclerotic heart disease
3,what is atherosclerotic heart disease
3,what is atherosclerotic heart disease
3,what is atherosclerotic heart disease
3,what was the name of the uss john kennedy before
3,what is the name of the wizard of oz
3,what is the name of the wizard of oz
3,what were 3 important things that douglas MacArthur did?
3,what is homebrew for wii
3,what is homebrew for wii
3,what is santa's wife's name
3,when was Saddle Creek founded
3,what is korean money called
3,what is three phase electrical
3,What is the significance of Good Friday?
3,What is the significance of Good Friday?
3,What is the significance of Good Friday?
3,Who is the highest scoring NBA player
3,where is the great basin located on a us map
3,what is direct marketing channel
3,what was the date of pearl harbor
3,what is disney's magic kingdom
3,what is the kanji for language
3,what is in fruitcake
3,what is the name of the family who own the biltmore estates in nc
3,who was the congressman who was caught with an escort in ny
3,where are the kidneys in your body
3,what is lockton affinity
3,what is lockton affinity
3,what is white chocolate made of
3,what is the latest season of psych
3,what is the main component of vaccines
3,what is the name of chris cornell's band?
3,what is preciosa crystal?
3,where is the chupacabra found
3,What is the purpose of North American Free Trade Agreement
3,who are all of the jonas brothers
3,what is in the alpine mountain systems
3,what is in the alpine mountain systems
3,who is mary matalin married to
3,where is basque spoken
3,where is the brisket from
3,what is human chorionic
3,where is dear john filmed at
3,what is busiest airport in US
3,where is osaka japan
3,where is osaka japan
3,what is surname and given name
3,what is melissa and joey about
3,What is an economic feature?
3,What is an economic feature?
3,What is an economic feature?
3,what is the average american income
3,When was Apple Computer founded
3,what is section eight housing
3,what is section eight housing
0,Hello! How are you today?
0,Hi there! Nice to meet you!
0,Good morning! What's on your mind?
0,How are you doing?
0,Hey! What's new?
0,Greetings! How can I assist you today?
0,Hi! What's up?
0,Hello! How can I be of service?
0,Hi! Hope you're having a good day!
0,Hey there! How can I support you today?
0,Hi there! How's your day going?
0,Good to see you! What brings you here today?
0,How's everything with you?
0,Hello! Hope you're doing well.
0,Hey! Long time no see!
0,Hi! What can I help you with today?
0,Good afternoon! How can I assist?
0,Hello! Anything I can do for you?
0,Hi! What's happening?
0,Greetings! What's new?
0,Hi! How have you been?
0,Hello! What's your day like?
0,Good evening! How can I be of service?
0,Hey! What's going on?
0,Hi! Anything interesting happening?
0,Hello there! How can I help you today?
0,Greetings! What's on your mind?
0,Hi! How's it going?
0,Hello! Hope you're having a good time.
0,Hey! How's your week so far?
0,Hi! What would you like to talk about?
0,Hello! Anything exciting to share?
0,Hi! How are things with you?
0,Good day! How can I assist you?
0,Hey! What's new and exciting?
0,Hi! How's your morning/afternoon/evening?
0,Greetings! What can I do for you today?
0,Hello! Need any help?
0,Hey! What's happening in your world?
0,Hi! How's your weekend going?
0,Good morning! Ready to chat?
0,Hello! What's your plan for today?
0,Hi there! What's the latest?
0,Hey! Do you have a minute to chat?
0,Hello! How can I brighten your day?
0,Hi! Anything on your mind?
0,Greetings! Hope you're doing well.
0,Hello! Long time no talk!
0,Hey! What brings you here?
0,Hi! Great to see you.
0,Good evening! How has your day been?
0,Hello! What's keeping you busy these days?
0,Hi! Let's catch up.
0,Hey there! Ready to share your thoughts?
0,Good day! Any special plans?
0,Hello! What can I help you achieve today?
0,Hi! Want to chat for a bit?
0,Greetings! How may I assist you?
0,Hey! Hope everything's good on your end.
0,Hi! Got any fun stories?
0,Hello! How's life treating you?
0,Hey! How was your last trip/adventure?
0,Hi! What's up with you lately?
0,Hello! Looking forward to anything exciting?
0,Good day! How's your mood today?
0,Hi! Anything you'd like to discuss?
0,Greetings! Tell me something interesting.
0,Hello! Want to talk about your favorite things?
0,Hey! Any cool recommendations you have?
0,Hi! I'm all ears. What's on your mind?
0,Hello! How are you?
0,Hi! How's it going?
0,Good morning! How are you today?
0,Hey! What's up?
0,Hi there! What's new?
0,Hello! Hope you're well.
0,Hey! How have you been?
0,Hi! How's your day?
0,Hello! How's everything going?
0,Good evening! How are you doing?
0,Hi! What's going on?
0,Hey! How's life?
0,Hello! How's it been?
0,Hi! How are things?
0,Good day! How are you feeling?
0,Hey! How's today treating you?
0,Hi there! How have you been lately?
0,Hello! What's on your mind today?
0,Hey! How do you do?
0,Hi! What's happening?
0,Hello! What brings you here?
0,Hi! How's your week been?
0,Hey! How are you holding up?
0,Hi! What's your mood like today?
0,Good morning! How can I help?
0,Hello! Nice to see you.
0,Hey! Got a moment to chat?
0,Hi! How's your evening?
0,Hello! What can I do for you today?
0,Hey! Hope your day is going well.
1,How do I reset my password?
1,Can I change my account email address?
1,What steps do I take to recover my username?
1,How can I update my security questions?
1,How do I enable two-factor authentication?
1,Can I link my account with social media?
1,How do I update my profile information?
1,What should I do if my account is locked?
1,How can I delete my account permanently?
1,Is it possible to change my username?
1,How do I change my password?
1,What should I do if I forget my security question answers?
1,Can I update my phone number linked to the account?
1,How do I enable login alerts?
1,How do I recover a deleted account?
1,Is it possible to disable two-factor authentication?
1,How can I verify my email address?
1,Where can I check my recent login activity?
1,How do I secure my account from unauthorized access?
1,Can I add a backup email for recovery?
1,What options do I have for account recovery?
1,How do I restrict access to my profile?
1,Can I temporarily deactivate my account?
1,What steps should I take to change my security settings?
1,Is there a way to unlink my account from third-party services?
1,How can I add an alternative phone number for verification?
1,Can I remove saved login details from my account?
1,How do I check if my account has been compromised?
1,How do I change my profile picture?
1,Is there a way to lock my account manually?
1,How can I deactivate account recovery options?
1,Can I customize my account's privacy settings?
1,How do I set up a new security PIN?
1,What should I do if I suspect my account was hacked?
1,How do I manage connected devices?
1,Can I receive alerts for login attempts from unknown locations?
1,Where can I manage linked accounts?
1,How do I add a recovery question to my account?
1,Is it possible to view my account's access history?
1,How can I prevent unauthorized logins?
1,How do I enable automatic account lockout?
1,Can I set specific login hours for my account?
1,How can I verify my phone number?
1,Where can I see the devices logged into my account?
1,How do I enable or disable login notifications?
1,Can I limit access to specific devices?
1,How do I set up a security phrase for verification?
1,Can I restrict access based on geographic location?
1,How can I delete my backup recovery methods?
1,Is there a way to check login attempts?
1,How do I verify my account through a phone call?
1,Can I change my recovery email?
1,How do I restrict logins to specific IP addresses?
1,What happens if I enter the wrong password too many times?
1,How can I make my profile private?
1,How do I create a strong password?
1,Is there a way to enable biometric login?
1,How can I link another email to my account?
1,Can I receive notifications for changes made to my account?
1,How do I review past login sessions?
1,Is it possible to delete my profile information?
1,How can I change my email?
1,How do I update my phone number?
1,Can I reset my password?
1,How do I delete my account?
1,What should I do if I forget my username?
1,How do I link my social media account?
1,Can I update my security settings?
1,How do I check my login history?
1,How can I change my username?
1,How do I recover my account?
1,Where can I find my account settings?
1,How do I enable two-factor authentication?
1,Can I remove a linked device?
1,How do I change my profile picture?
1,How can I add a recovery email?
1,How do I make my profile private?
1,What should I do if my account is locked?
1,Can I receive alerts for account changes?
1,How do I verify my phone number?
1,How can I update my security questions?
2,Can you recommend some popular attractions nearby?
2,Where can I find a good restaurant?
2,What are some must-see places in the area?
2,Are there any parks close to me?
2,Where can I go shopping?
2,Can you suggest a nearby coffee shop?
2,What events are happening this weekend?
2,Are there any local museums worth visiting?
2,Can you find me a nearby bookstore?
2,Where's a good spot for hiking?
2,Are there any concerts happening tonight?
2,Where can I find fresh produce markets?
2,Can you recommend a quiet place to relax?
2,Where are the best places for sightseeing?
2,Are there any art galleries nearby?
2,Can you find me a gym or fitness center?
2,Where can I see live music?
2,What's a popular place to watch the sunset?
2,Are there any nearby theaters?
2,Can you suggest a good walking trail?
2,What are some good places for a weekend trip?
2,Can you find me a pet-friendly park?
2,Where's the best spot for photography?
2,Are there any local breweries nearby?
2,Can you recommend a popular tourist area?
2,Where can I go for a picnic?
2,What's the nearest library?
2,Are there any good wine tasting spots?
2,Can you find a nearby yoga class?
2,Where are the best scenic views in the city?
2,Is there a flea market happening soon?
2,Can you find me a good seafood restaurant?
2,Are there any free attractions nearby?
2,Where can I go kayaking?
2,What are the best beaches around?
2,Can you suggest a place for night walks?
2,Where is the nearest art supply store?
2,Are there any guided tours available?
2,Where can I find a farmers' market?
2,What's the best local cuisine spot?
2,Can you recommend a bookstore caf¨¦?
2,Where's a quiet place to read?
2,Are there any historical landmarks to visit?
2,Where can I find unique local crafts?
2,Are there any upcoming theater performances?
2,Where's a good spot to watch sports games?
2,What are some family-friendly activities?
2,Can you suggest a good spa nearby?
2,Are there any cooking classes around?
2,Where can I rent bikes?
2,What are the top-rated bakeries here?
2,Is there a nearby community center?
2,Where's the best area for antique shopping?
2,Can you recommend an outdoor dining spot?
2,Where can I try local street food?
2,Are there any jazz clubs around?
2,Can you find me a karaoke bar?
2,Where can I find organic food stores?
2,What are some good hiking trails?
2,Is there a fitness center open 24 hours?
2,Where's a good spot to take kids?
2,Can you suggest a good rooftop bar?
2,Where's a romantic place for dinner?
2,Are there any nearby hot springs?
2,Can you recommend a co-working space?
2,Where can I see the stars clearly?
2,What are the best spots for street food?
2,Are there any local festivals this month?
2,Where can I buy artisanal cheese?
2,Can you suggest a scenic driving route?
2,Where can I find a nearby park?
2,Are there any good cafes around?
2,Can you recommend a place to eat?
2,Where's the nearest grocery store?
2,Are there any museums close by?
2,Where can I buy fresh fruits?
2,Is there a library nearby?
2,Can you find a quiet place to relax?
2,Where's a good spot for a walk?
2,Are there any local events today?
2,Can you suggest a place for dinner?
2,Where is the nearest hospital?
2,Are there any playgrounds for kids?
2,Where's a good place for shopping?
2,Can you find a bookstore for me?
2,Where can I get coffee?
2,Is there a gym nearby?
2,Where can I find a bakery?
2,Are there any markets around here?
2,Where can I go for a swim?
3,How are you today?
3,What's your favorite color?
3,Do you have any hobbies?
3,What's your favorite movie?
3,How's the weather today?
3,Have you read any good books lately?
3,What kind of music do you like?
3,Do you like coffee or tea?
3,What's your favorite food?
3,Do you enjoy traveling?
3,How was your day?
3,What's your favorite animal?
3,Do you like sports?
3,What do you do for fun?
3,Are you a morning person?
3,What's your favorite season?
3,Have you watched any good shows recently?
3,What's your dream job?
3,Do you prefer the beach or the mountains?
3,What's your favorite way to relax?
3,What did you do over the weekend?
3,Do you have a favorite TV show?
3,What's your favorite holiday?
3,Do you like animals?
3,What kind of books do you enjoy?
3,Have you ever been on a road trip?
3,What do you like to do on weekends?
3,Do you play any musical instruments?
3,What's your favorite dessert?
3,Are you into video games?
3,Do you enjoy cooking?
3,Have you been to any interesting places?
3,What's your favorite childhood memory?
3,Do you like art?
3,How do you stay active?
3,What's your go-to comfort food?
3,Do you enjoy puzzles or brain teasers?
3,Have you ever gone hiking?
3,What's something you're passionate about?
3,Do you have a pet?
3,Are you more of an introvert or extrovert?
3,What's your favorite ice cream flavor?
3,How do you usually spend your free time?
3,Have you tried any new recipes lately?
3,What's your favorite genre of movies?
3,Do you like camping?
3,What's your ideal vacation spot?
3,Have you been to any live concerts?
3,Do you enjoy board games?
3,What's the best gift you've ever received?
3,Are you a fan of any sports teams?
3,Do you prefer reading fiction or non-fiction?
3,Have you ever kept a journal?
3,What's a skill you'd like to learn?
3,Do you collect anything?
3,What's your favorite thing about your city?
3,Do you have a role model?
3,Are you into gardening?
3,What's the last movie you watched?
3,Do you enjoy DIY projects?
3,What's your favorite thing to do outdoors?
3,Have you ever gone fishing?
3,What's your favorite beverage?
3,Are you interested in history?
3,Do you have any phobias?
3,How do you unwind after a long day?
3,Do you like to dance?
3,What's your favorite breakfast?
3,Have you ever tried meditation?
3,What's a fun fact about you?
3,Do you enjoy writing?
3,Do you enjoy listening to podcasts?
3,What's your favorite sport?
3,Have you ever tried a new hobby recently?
3,Do you like going to the movies?
3,What's your favorite type of weather?
3,Are you a coffee or tea person?
3,What's something you're looking forward to?
3,Do you like spicy food?
3,Have you ever been to a theme park?
3,What's a skill you admire in others?
3,Are you into puzzles and riddles?
3,What's your favorite animal and why?
3,Do you prefer morning or night?
3,What's the best meal you've ever had?
3,Do you have a favorite flower?
3,How do you stay organized?
3,What's something you'd like to change in the world?
3,Are you a tech enthusiast?
3,What's your favorite childhood cartoon?
3,Do you enjoy swimming?
3,How do you celebrate your birthday?
3,Are you more of a planner or spontaneous?
3,Do you like to draw or paint?
3,What's the most fun trip you've been on?
3,Do you have any pets?
3,What's your favorite thing about weekends?
3,Do you like taking long walks?
3,How do you relax at the end of the day?
3,Have you ever been on a boat?
3,What's the best advice you've received?
3,Do you enjoy rainy days?
3,What's your favorite season of the year?
3,Have you ever baked a cake?
3,Do you like trying new foods?
3,What's a movie you can watch over and over?
3,Do you have a favorite holiday tradition?
3,What do you usually do on a lazy day?
3,Are you a cat person or a dog person?
3,Have you traveled to any new places recently?
3,What's your dream destination?
3,Do you enjoy playing any sports?
3,How do you usually start your mornings?
3,Have you tried any outdoor activities lately?
3,What's your favorite memory from last year?
3,Are you into fashion?
3,What's your favorite thing to do with friends?
3,Do you collect anything special?
3,Have you ever tried journaling?
3,What kind of music helps you focus?
3,What's your go-to meal when you're hungry?
3,Do you enjoy stargazing?
