QuestionID,Question,Answer,Document,intent,cleaned question,cleaned answer
Q440,what causes thunder sound,"In turn, this expansion of air creates a sonic shock wave, similar to a sonic boom , which produces the sound of thunder, often referred to as a clap, crack, or peal of thunder.",Thunder,0,cause thunder sound,turn expansion air creates sonic shock wave similar sonic boom produce sound thunder often referred clap crack peal thunder .
Q441,what day is the federal holiday for Martin Luther King Jr.,"It is observed on the third Monday of January each year, which is around the time of King's birthday, January 15.","Martin Luther King, Jr. Day",0,day federal holiday martin luther king jr .,observed third monday january year around time king birthday january 15 .
Q442,what area code is 949,Area code 949 is an area code in California that is contained mostly within South Orange County .,Area code 949,0,area code 949,area code 949 area code california contained mostly within south orange county .
Q443,what does continuous improvement mean,"A continual improvement process, also often called a continuous improvement process (abbreviated as CIP or CI), is an ongoing effort to improve products, services, or processes.",Continual improvement process,0,continuous improvement mean,continual improvement process also often called continuous improvement process abbreviated cip ci ongoing effort improve product service process .
Q444,what area code is 810,Area code 810 is the telephone area code serving eastern Michigan .,Area code 810,0,area code 810,area code 810 telephone area code serving eastern michigan .
Q445,how many babies are in a typical raccoon litter,"After a gestation period of about 65 days, two to five young, known as ""kits"", are born in spring.",Raccoon,0,many baby typical raccoon litter,gestation period 65 day two five young known kit born spring .
Q446,what kind of earthquake was haiti,"The 2010 Haiti earthquake was a catastrophic magnitude 7.0 Mw earthquake , with an epicenter near the town of Léogâne ( Ouest Department ), approximately west of Port-au-Prince , Haiti's capital.",2010 Haiti earthquake,0,kind earthquake haiti,2010 haiti earthquake catastrophic magnitude 7.0 mw earthquake epicenter near town léogâne ouest department approximately west portauprince haiti capital .
Q447,what kind of horse was mr ed,"The stars of the show were Mister Ed, a palomino horse who could ""talk"", played by gelding Bamboo Harvester and voiced by former Western star Allan Lane (who went uncredited for the entire length of the series), and his owner, an eccentric and enormously klutzy , yet friendly, architect named Wilbur Post ( Alan Young ).",Mister Ed,0,kind horse mr ed,star show mister ed palomino horse could talk played gelding bamboo harvester voiced former western star allan lane went uncredited entire length series owner eccentric enormously klutzy yet friendly architect named wilbur post alan young .
Q448,What does Rapture meaning in a theological sense?,"The Rapture is a term in Christian eschatology which refers to the ""being caught up"" discussed in 1 Thessalonians 4:17, when the ""dead in Christ"" and ""we who are alive and remain"" will be ""caught up in the clouds"" to meet ""the Lord in the air"".",Rapture,0,rapture meaning theological sense,rapture term christian eschatology refers caught discussed 1 thessalonian 417 dead christ alive remain caught cloud meet lord air .
Q449,who does chris humphries play for,"Kris Nathan Humphries (born February 6, 1985) is an American professional basketball player with the Brooklyn Nets .",Kris Humphries,0,chris humphries play,kris nathan humphries born february 6 1985 american professional basketball player brooklyn net .
Q450,what are corporation balance,"A balance sheet is often described as a ""snapshot of a company's financial condition"".",Balance sheet,0,corporation balance,balance sheet often described snapshot company financial condition .
Q451,what is .17 hmr caliber,".17 Hornady Magnum Rimfire, commonly known as the .17 HMR, is a rimfire rifle cartridge developed by the ammunition company Hornady in 2002.",.17 HMR,0,.17 hmr caliber,.17 hornady magnum rimfire commonly known .17 hmr rimfire rifle cartridge developed ammunition company hornady 2002 .
Q452,what made the civil war different from others,"It remains the deadliest war in American history , resulting in the deaths of an estimated 750,000 soldiers and an undetermined number of civilian casualties.",American Civil War,0,made civil war different others,remains deadliest war american history resulting death estimated 750000 soldier undetermined number civilian casualty .
Q453,where to buy potato bread made without wheat,"It is available as a commercial product in many countries, with similar variations in ingredients, cooking method, and other variables.",Potato bread,0,buy potato bread made without wheat,available commercial product many country similar variation ingredient cooking method variable .
Q454,what year was the 8 track invented,"Stereo 8 was created in 1964 by a consortium led by Bill Lear of Lear Jet Corporation, along with Ampex , Ford Motor Company , General Motors , Motorola , and RCA Victor Records (RCA).",8-track tape,0,year 8 track invented,stereo 8 created 1964 consortium led bill lear lear jet corporation along ampex ford motor company general motor motorola rca victor record rca .
Q455,what are points on a mortgage,"Points, sometimes also called a ""discount point"", are a form of pre-paid interest .",Point (mortgage),0,point mortgage,point sometimes also called discount point form prepaid interest .
Q456,who killed julius caesar,"But the underlying political conflicts had not been resolved, and on the Ides of March (15 March) 44 BC, Caesar was assassinated by a group of senators led by Marcus Junius Brutus .",Julius caesar,0,killed julius caesar,underlying political conflict resolved ides march 15 march 44 bc caesar assassinated group senator led marcus junius brutus .
Q457,what are  the  official languages of nigeria,"The official language of Nigeria, English , the former colonial language, was chosen to facilitate the cultural and linguistic unity of the country.",Languages of Nigeria,0,official language nigeria,official language nigeria english former colonial language chosen facilitate cultural linguistic unity country .
Q458,"who played guitar on the kiss album, creatures of the night","It is also the band's last album recorded with Ace Frehley credited as an official member (until 1998's Psycho Circus ), and its first album with Vinnie Vincent as the initially uncredited lead guitarist (Vincent would later be credited, but not featured pictorially on the cover, of 1985's reissue of the album ).",Creatures of the Night,0,played guitar kiss album creature night,also band last album recorded ace frehley credited official member 1998s psycho circus first album vinnie vincent initially uncredited lead guitarist vincent would later credited featured pictorially cover 1985s reissue album .
Q459,who wrote white christmas,"""White Christmas"" is an Irving Berlin song reminiscing about an old-fashioned Christmas setting .",White Christmas (song),0,wrote white christmas,white christmas irving berlin song reminiscing oldfashioned christmas setting .
Q460,what are the different types of cross country skiing,"Cross-country skiing is part of the Nordic skiing sport family, which includes ski jumping , Nordic combined (cross-country skiing and ski jumping), Biathlon (skiing and rifle marksmanship ) and ski-orienteering (which includes map navigation along snow trails and tracks).",Cross-country skiing,7,different type cross country skiing,crosscountry skiing part nordic skiing sport family includes ski jumping nordic combined crosscountry skiing ski jumping biathlon skiing rifle marksmanship skiorienteering includes map navigation along snow trail track .
Q461,what are use taxes?,"A use tax in United States is complementary to sales tax which means, if you buy a Taxable product/services without paying any Sales tax to vendor, you owe use tax.",Use tax,0,use tax,use tax united state complementary sale tax mean buy taxable productservices without paying sale tax vendor owe use tax .
Q462,what are use taxes?,"Use tax is also termed as ""Consumption Tax"" or ""Consumer Use Tax"".",Use tax,0,use tax,use tax also termed consumption tax consumer use tax .
Q463,what are use taxes?,A use tax is a type of excise tax levied in the United States by numerous state governments.,Use tax,0,use tax,use tax type excise tax levied united state numerous state government .
Q464,WHAT IS A FY QUARTER,"A fiscal year (or financial year, or sometimes budget year) is a period used for calculating annual (""yearly"") financial statements in businesses and other organizations.",Fiscal year,0,fy quarter,fiscal year financial year sometimes budget year period used calculating annual yearly financial statement business organization .
Q465,who pulmonary hypertension,It was first identified by Dr. Ernst von Romberg in 1891.,Pulmonary hypertension,0,pulmonary hypertension,first identified dr. ernst von romberg 1891 .
Q466,what is an array in programming,"In computer science , array programming languages (also known as vector or multidimensional languages) generalize operations on scalars to apply transparently to vectors , matrices , and higher dimensional arrays.",Array programming,0,array programming,computer science array programming language also known vector multidimensional language generalize operation scalar apply transparently vector matrix higher dimensional array .
Q467,what is an array in programming,Array programming primitives concisely express broad ideas about data manipulation.,Array programming,0,array programming,array programming primitive concisely express broad idea data manipulation .
Q468,who wrote a rose is a rose is a rose,"The sentence ""Rose is a rose is a rose is a rose."" was written by Gertrude Stein as part of the 1913 poem Sacred Emily, which appeared in the 1922 book Geography and Plays.",Rose is a rose is a rose is a rose,0,wrote rose rose rose,sentence rose rose rose rose . written gertrude stein part 1913 poem sacred emily appeared 1922 book geography play .
Q469,what is a notary for,"A notary public (or notary or public notary) in the common law world is a public officer constituted by law to serve the public in non-contentious matters usually concerned with estates, deeds, powers-of-attorney, and foreign and international business.",Notary public,0,notary,notary public notary public notary common law world public officer constituted law serve public noncontentious matter usually concerned estate deed powersofattorney foreign international business .
Q470,what is a notary for,"A notary's main functions are to administer oaths and affirmations, take affidavits and statutory declarations , witness and authenticate the execution of certain classes of documents, take acknowledgments of deeds and other conveyances, protest notes and bills of exchange, provide notice of foreign drafts, prepare marine or ship's protests in cases of damage, provide exemplifications and notarial copies, and perform certain other official acts depending on the jurisdiction .",Notary public,0,notary,notary main function administer oath affirmation take affidavit statutory declaration witness authenticate execution certain class document take acknowledgment deed conveyance protest note bill exchange provide notice foreign draft prepare marine ship protest case damage provide exemplification notarial copy perform certain official act depending jurisdiction .
Q471,when did the cold war start,"The Cold War, often dated from 1947 to 1991, was a sustained state of political and military tension between powers in the Western Bloc , dominated by the United States with NATO among its allies, and powers in the Eastern Bloc , dominated by the Soviet Union along with the Warsaw Pact .",Cold War,0,cold war start,cold war often dated 1947 1991 sustained state political military tension power western bloc dominated united state nato among ally power eastern bloc dominated soviet union along warsaw pact .
Q472,what state is pike's peak in?,"Pikes Peak State Park is a state park of Iowa , USA, featuring a bluff overlooking the Upper Mississippi River opposite the confluence of the Wisconsin River .",Pikes Peak State Park,0,state pike peak,pike peak state park state park iowa usa featuring bluff overlooking upper mississippi river opposite confluence wisconsin river .
Q473,what state is jakarta in?,"Jakarta (), officially known as the Special Capital Region of Jakarta (), is the capital and largest city of Indonesia .",Jakarta,0,state jakarta,jakarta officially known special capital region jakarta capital largest city indonesia .
Q474,what song is sung in 6 foot 7 foot,"""6 Foot 7 Foot"" (also styled as ""6'7"") is a song by American rapper Lil Wayne featuring label mate, Cory Gunz .",6 Foot 7 Foot,0,song sung 6 foot 7 foot,6 foot 7 foot also styled 67 song american rapper lil wayne featuring label mate cory gunz .
Q475,what is a book index,An index (plural: indexes) is a list of words or phrases ('headings') and associated pointers ('locators') to where useful material relating to that heading can be found in a document.,Index (publishing),0,book index,index plural index list word phrase heading associated pointer locator useful material relating heading found document .
Q476,who sings the song never ending story,The English version was performed by Limahl and Beth Anderson ; the French version was performed by Limahl and Ann Calvert.,The NeverEnding Story (song),0,sings song never ending story,english version performed limahl beth anderson french version performed limahl ann calvert .
Q477,who can file suspicious activity report,"In United States financial regulation , a suspicious activity report (or SAR) is a report made by a financial institution to the Financial Crimes Enforcement Network (FinCEN), an agency of the United States Department of the Treasury , regarding suspicious or potentially suspicious activity.",Suspicious activity report,0,file suspicious activity report,united state financial regulation suspicious activity report sar report made financial institution financial crime enforcement network fincen agency united state department treasury regarding suspicious potentially suspicious activity .
Q478,who created facebook,"It was founded in February 2004 by Mark Zuckerberg with his college roommates and fellow Harvard University students Eduardo Saverin , Andrew McCollum , Dustin Moskovitz and Chris Hughes .",Facebook,0,created facebook,founded february 2004 mark zuckerberg college roommate fellow harvard university student eduardo saverin andrew mccollum dustin moskovitz chris hughes .
Q479,what are the sulfas,The original antibacterial sulfonamides (sometimes called sulfa drugs or sulpha drugs) are synthetic antimicrobial agents that contain the sulfonamide group.,Sulfonamide (medicine),0,sulfa,original antibacterial sulfonamide sometimes called sulfa drug sulpha drug synthetic antimicrobial agent contain sulfonamide group .
Q480,what are risk for infections,"Risk of infection is a nursing diagnosis which is defined as ""the state in which an individual is at risk to be invaded by an opportunistic or pathogenic agent ( virus , fungus , bacteria , protozoa , or other parasite ) from endogenous or exogenous sources"" and was approved by NANDA in 1986.",Risk of infection,0,risk infection,risk infection nursing diagnosis defined state individual risk invaded opportunistic pathogenic agent virus fungus bacteria protozoa parasite endogenous exogenous source approved nanda 1986 .
Q481,who owns joe's crab shack,Joe's Crab Shack is an American chain of beach-themed seafood casual dining restaurants owned by Ignite Restaurant Group .,Joe's Crab Shack,0,owns joes crab shack,joes crab shack american chain beachthemed seafood casual dining restaurant owned ignite restaurant group .
Q482,where do cruises dock in new york city,New York City Cruise Liner Terminal in Hell's Kitchen at 52nd Street .,New York Passenger Ship Terminal,1,cruise dock new york city,new york city cruise liner terminal hell kitchen 52nd street .
Q483,what is a right wing christian,Christian right is a term used in the United States to describe right-wing Christian political groups that are characterized by their strong support of socially conservative policies.,Christian right,0,right wing christian,christian right term used united state describe rightwing christian political group characterized strong support socially conservative policy .
Q484,who played the lead roles in the movie leaving las vegas,Nicolas Cage stars as a suicidal alcoholic who has ended his personal and professional life to drink himself to death in Las Vegas .,Leaving Las Vegas,0,played lead role movie leaving la vega,nicolas cage star suicidal alcoholic ended personal professional life drink death la vega .
Q485,what is a CMM machine,A coordinate measuring machine is a device for measuring the physical geometrical characteristics of an object.,Coordinate-measuring machine,0,cmm machine,coordinate measuring machine device measuring physical geometrical characteristic object .
Q486,what percentage of water in in the body,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight.",Body water,0,percentage water body,arthur guyton textbook medical physiology state total amount water man average weight 70 kilogram approximately 40 litre averaging 57 percent total body weight .
Q487,what percentage of water in in the body,"In a newborn infant, this may be as high as 75 percent of the body weight, but it progressively decreases from birth to old age, most of the decrease occurring during the first 10 years of life.",Body water,0,percentage water body,newborn infant may high 75 percent body weight progressively decrease birth old age decrease occurring first 10 year life .
Q488,what type of batteries are 357 (LR44),"LR44 is the IEC designation for an alkaline 1.5 volt button cell , commonly used in small LED flashlights , digital thermometers , calculators , calipers , watches , clocks , toys and laser pointers .",LR44 battery,0,type battery 357 lr44,lr44 iec designation alkaline 1.5 volt button cell commonly used small led flashlight digital thermometer calculator caliper watch clock toy laser pointer .
Q489,where did hurricane katrina begin,Hurricane Katrina was the deadliest and most destructive Atlantic hurricane of the 2005 Atlantic hurricane season .,Hurricane Katrina,0,hurricane katrina begin,hurricane katrina deadliest destructive atlantic hurricane 2005 atlantic hurricane season .
Q490,where did hurricane katrina begin,"Hurricane Katrina formed over the Bahamas on August 23, 2005 and crossed southern Florida as a moderate Category 1 hurricane , causing some deaths and flooding there before strengthening rapidly in the Gulf of Mexico .",Hurricane Katrina,0,hurricane katrina begin,hurricane katrina formed bahamas august 23 2005 crossed southern florida moderate category 1 hurricane causing death flooding strengthening rapidly gulf mexico .
Q491,what is an assist in basketball,"In basketball , an assist is attributed to a player who passes the ball to a teammate in a way that leads to a score by field goal , meaning that he or she was ""assisting"" in the basket.",Assist (basketball),0,assist basketball,basketball assist attributed player pass ball teammate way lead score field goal meaning assisting basket .
Q492,what is 1 mil guaranies in united states dollars,"The mill or mille () (sometimes mil in the UK , when discussing property taxes in the United States , or previously in Cyprus and Malta ) is a now-abstract unit of currency used sometimes in accounting .",Mill (currency),0,1 mil guaranies united state dollar,mill mille sometimes mil uk discussing property tax united state previously cyprus malta nowabstract unit currency used sometimes accounting .
Q493,where did the persian war take place,The Greco-Persian Wars (also often called the Persian Wars) were a series of conflicts between the Achaemenid Empire of Persia and city-states of the Hellenic world that started in 499 BC and lasted until 449 BC.,Greco-Persian Wars,0,persian war take place,grecopersian war also often called persian war series conflict achaemenid empire persia citystates hellenic world started 499 bc lasted 449 bc .
Q494,where did the persian war take place,"In 494 BC, the Persians regrouped, and attacked the epicentre of the revolt in Miletus.",Greco-Persian Wars,0,persian war take place,494 bc persian regrouped attacked epicentre revolt miletus .
Q495,where did the persian war take place,"At the Battle of Lade , the Ionians suffered a decisive defeat, and the rebellion collapsed, with the final members being stamped out the following year.",Greco-Persian Wars,0,persian war take place,battle lade ionian suffered decisive defeat rebellion collapsed final member stamped following year .
Q496,where did the persian war take place,"Seeking to secure his empire from further revolts and from the interference of the mainland Greeks, Darius embarked on a scheme to conquer Greece and to punish Athens and Eretria for burning Sardis.",Greco-Persian Wars,0,persian war take place,seeking secure empire revolt interference mainland greek darius embarked scheme conquer greece punish athens eretria burning sardis .
Q497,where did the persian war take place,"The actions of the general Pausanias at the siege of Byzantium alienated many of the Greek states from the Spartans, and the anti-Persian alliance was therefore reconstituted around Athenian leadership, as the so-called Delian League .",Greco-Persian Wars,0,persian war take place,action general pausanias siege byzantium alienated many greek state spartan antipersian alliance therefore reconstituted around athenian leadership socalled delian league .
Q498,where did the persian war take place,"At the Battle of the Eurymedon in 466 BC, the League won a double victory that finally secured freedom for the cities of Ionia.",Greco-Persian Wars,0,persian war take place,battle eurymedon 466 bc league double victory finally secured freedom city ionia .
Q499,where did the persian war take place,"A fleet was sent to Cyprus in 451 BC, but achieved little, and when it withdrew the Greco-Persian Wars drew to a quiet end.",Greco-Persian Wars,0,persian war take place,fleet sent cyprus 451 bc achieved little withdrew grecopersian war drew quiet end .
Q500,what is a day care for?,"Child care or day care is the care of a child during the day by a person other than the child's legal guardians , typically performed by someone outside the child's immediate family .",Day care,0,day care,child care day care care child day person child legal guardian typically performed someone outside child immediate family .
Q501,who discovered neptune the planet,"With a prediction by Urbain Le Verrier , telescopic observations confirming the existence of a major planet were made on the night of September 23–24, 1846, at the Berlin Observatory , by astronomer Johann Gottfried Galle (assisted by Heinrich Louis d'Arrest ), working from Le Verrier's calculations.",Discovery of Neptune,0,discovered neptune planet,prediction urbain le verrier telescopic observation confirming existence major planet made night september 23–24 1846 berlin observatory astronomer johann gottfried galle assisted heinrich louis darrest working le verriers calculation .
Q502,what separates me from you album,What Separates Me from You is the fourth studio album by American metalcore / pop punk band A Day to Remember .,What Separates Me from You,0,separate album,separate fourth studio album american metalcore pop punk band day remember .
Q503,when did thomson make the plum-pudding model,"The plum pudding model of the atom by J. J. Thomson , who discovered the electron in 1897, was proposed in 1904 before the discovery of the atomic nucleus in order to add the electron to the atomic model.",Plum pudding model,0,thomson make plumpudding model,plum pudding model atom j. j. thomson discovered electron 1897 proposed 1904 discovery atomic nucleus order add electron atomic model .
Q504,what part of the pig is bacon,"It is usually made from side and back cuts of pork, except in the United States, where it is almost always prepared from pork belly (typically referred to as ""streaky"", ""fatty"", or ""American style"" outside of the US and Canada).",Bacon,0,part pig bacon,usually made side back cut pork except united state almost always prepared pork belly typically referred streaky fatty american style outside u canada .
Q505,where did erisa come from,"The Employee Retirement Income Security Act of 1974 (ERISA) (, codified in part at ) is a federal law which establishes minimum standards for pension plans in private industry and provides for extensive rules on the federal income tax effects of transactions associated with employee benefit plans.",Employee Retirement Income Security Act,7,erisa come,employee retirement income security act 1974 erisa codified part federal law establishes minimum standard pension plan private industry provides extensive rule federal income tax effect transaction associated employee benefit plan .
Q506,where did erisa come from,ERISA was enacted to protect the interests of employee benefit plan participants and their beneficiaries by:,Employee Retirement Income Security Act,7,erisa come,erisa enacted protect interest employee benefit plan participant beneficiary
Q507,what percent of illegal immigrants are from mexico and europe,"According to a 2005 Pew Hispanic Center report, 56% of undocumented immigrants were from Mexico ; 22% were from other Latin American countries; 13% were from Asia; 6% were from Europe and Canada; and 3% were from Africa and the rest of the world.",Illegal immigration to the United States,0,percent illegal immigrant mexico europe,according 2005 pew hispanic center report 56 undocumented immigrant mexico 22 latin american country 13 asia 6 europe canada 3 africa rest world .
Q508,what school district is alvin in?,"Alvin Independent School District is a school district based in Alvin , Texas ( USA ).",Alvin Independent School District,0,school district alvin,alvin independent school district school district based alvin texas usa .
Q509,what are the houses of hogwarts,"Hogwarts School of Witchcraft and Wizardry, shortened Hogwarts, is a fictional British school of magic for students aged eleven to eighteen, and is the primary setting for the first six books in J.K. Rowling 's Harry Potter series.",Hogwarts,0,house hogwarts,hogwarts school witchcraft wizardry shortened hogwarts fictional british school magic student aged eleven eighteen primary setting first six book j.k. rowling harry potter series .
Q510,when us subprime mortgage market collapse,The U.S. subprime mortgage crisis was a set of events and conditions that led to a financial crisis and subsequent recession that began in 2008.,Subprime mortgage crisis,0,u subprime mortgage market collapse,u.s. subprime mortgage crisis set event condition led financial crisis subsequent recession began 2008 .
Q511,What kind of personality test is the MBTI,The Myers-Briggs Type Indicator (MBTI) assessment is a psychometric questionnaire designed to measure psychological preferences in how people perceive the world and make decisions.,Myers-Briggs Type Indicator,0,kind personality test mbti,myersbriggs type indicator mbti assessment psychometric questionnaire designed measure psychological preference people perceive world make decision .
Q512,What kind of personality test is the MBTI,The MBTI focuses on normal populations and emphasizes the value of naturally occurring differences.,Myers-Briggs Type Indicator,0,kind personality test mbti,mbti focus normal population emphasizes value naturally occurring difference .
Q513,What kind of personality test is the MBTI,"Robert Kaplan and Dennis Saccuzzo believe ""the underlying assumption of the MBTI is that we all have specific preferences in the way we construe our experiences, and these preferences underlie our interests, needs, values, and motivation"" (p. 499).",Myers-Briggs Type Indicator,0,kind personality test mbti,robert kaplan dennis saccuzzo believe underlying assumption mbti specific preference way construe experience preference underlie interest need value motivation p. 499 .
Q514,what type of game is heavy rain,Heavy Rain is an interactive drama action-adventure video game created by French developer Quantic Dream exclusively for the PlayStation 3 .,Heavy Rain,0,type game heavy rain,heavy rain interactive drama actionadventure video game created french developer quantic dream exclusively playstation 3 .
Q515,what are superannuation contributions?,Superannuation in Australia refers to the arrangements which people make in Australia to have funds available for them in retirement .,Superannuation in Australia,0,superannuation contribution,superannuation australia refers arrangement people make australia fund available retirement .
Q516,where does a flea live,"Fleas are external parasites , living by hematophagy off the blood of mammals and birds .",Flea,0,flea live,flea external parasite living hematophagy blood mammal bird .
Q517,what is a group of deer called,Deer (singular and plural) are the ruminant mammals forming the family Cervidae.,Deer,0,group deer called,deer singular plural ruminant mammal forming family cervidae .
Q518,what state was john mccain a senator in during the 2008 election,"Democrat Barack Obama , then the junior Senator from Illinois , defeated Republican John McCain , the senior Senator from Arizona .","United States presidential election, 2008",5,state john mccain senator 2008 election,democrat barack obama junior senator illinois defeated republican john mccain senior senator arizona .
Q519,when does the electoral college votes,The United States Electoral College is the institution that officially elects the President and Vice President of the United States every four years.,Electoral College (United States),0,electoral college vote,united state electoral college institution officially elect president vice president united state every four year .
Q520,when barack obama was born,"Barack Hussein Obama II (; born August 4, 1961) is the 44th and current President of the United States , the first African American to hold the office.",Barack Obama,0,barack obama born,barack hussein obama ii born august 4 1961 44th current president united state first african american hold office .
Q521,who wrote rhythm of the ancient mariner,"The Rime of the Ancient Mariner (originally The Rime of the Ancyent Marinere) is the longest major poem by the English poet Samuel Taylor Coleridge , written in 1797–98 and published in 1798 in the first edition of Lyrical Ballads .",The Rime of the Ancient Mariner,0,wrote rhythm ancient mariner,rime ancient mariner originally rime ancyent marinere longest major poem english poet samuel taylor coleridge written 1797–98 published 1798 first edition lyrical ballad .
Q522,when did freddie mercury die,"Freddie Mercury (born Farrokh Bulsara; Gujarati : ફરોખ બલ્સારા‌, Pharōkh Balsārā‌); 5 September 1946 – 24 November 1991) was a British musician, singer and songwriter, best known as the lead vocalist and lyricist of the rock band Queen .",Freddie Mercury,6,freddie mercury die,freddie mercury born farrokh bulsara gujarati ફરોખ બલ્સારા‌ pharōkh balsārā‌ 5 september 1946 – 24 november 1991 british musician singer songwriter best known lead vocalist lyricist rock band queen .
Q523,what is a .PAC file,A proxy auto-config (PAC) file defines how web browsers and other user agents can automatically choose the appropriate proxy server (access method) for fetching a given URL .,Proxy auto-config,0,.pac file,proxy autoconfig pac file defines web browser user agent automatically choose appropriate proxy server access method fetching given url .
Q524,what is a .PAC file,"A PAC file contains a JavaScript function “FindProxyForURL(url, host)”.",Proxy auto-config,0,.pac file,pac file contains javascript function “ findproxyforurlurl host ” .
Q525,what are spoilers for,Some spoilers are added to cars primarily for styling purposes and have either little aerodynamic benefit or even make the aerodynamics worse.,Spoiler (automotive),0,spoiler,spoiler added car primarily styling purpose either little aerodynamic benefit even make aerodynamics worse .
Q526,who sings i am a man of constant sorrow,"""Man of Constant Sorrow"" (also known as ""I Am A Man of Constant Sorrow"") is a traditional American folk song first recorded by Dick Burnett , a partially blind fiddler from Kentucky .",Man of Constant Sorrow,0,sings man constant sorrow,man constant sorrow also known man constant sorrow traditional american folk song first recorded dick burnett partially blind fiddler kentucky .
Q527,who kill franz ferdinand ww1,"On 28 June 1914, Archduke Franz Ferdinand of Austria , heir presumptive to the Austro-Hungarian throne, and his wife, Sophie, Duchess of Hohenberg , were shot dead in Sarajevo , by Gavrilo Princip , one of a group of six Bosnian Serb assassins coordinated by Danilo Ilić .",Assassination of Archduke Franz Ferdinand of Austria,0,kill franz ferdinand ww1,28 june 1914 archduke franz ferdinand austria heir presumptive austrohungarian throne wife sophie duchess hohenberg shot dead sarajevo gavrilo princip one group six bosnian serb assassin coordinated danilo ilić .
Q528,what year did disney's animal kingdom lodge open,"It opened on April 16, 2001.",Disney's Animal Kingdom Lodge,0,year disney animal kingdom lodge open,opened april 16 2001 .
Q529,what are two languages in Nigeria?,"The major languages are Yoruba , Hausa , Igbo , Edo , Fulfulde , Kanuri , and Ibibio .",Languages of Nigeria,0,two language nigeria,major language yoruba hausa igbo edo fulfulde kanuri ibibio .
Q530,what war led to Pearl Harbor,"War between Japan and the United States had been a possibility that each nation's military forces planned for since the 1920s, though real tension did not begin until the 1931 invasion of Manchuria by Japan.",Events leading to the attack on Pearl Harbor,0,war led pearl harbor,war japan united state possibility nation military force planned since 1920s though real tension begin 1931 invasion manchuria japan .
Q531,what is a mms message,Multimedia Messaging Service (MMS) is a standard way to send messages that include multimedia content to and from mobile phones .,Multimedia Messaging Service,0,mm message,multimedia messaging service mm standard way send message include multimedia content mobile phone .
Q532,where in the world are smallpox common,The earliest physical evidence of it is probably the pustular rash on the mummified body of Pharaoh Ramses V of Egypt.,Smallpox,0,world smallpox common,earliest physical evidence probably pustular rash mummified body pharaoh ramses v egypt .
Q533,what year did the beatles came out with the song i wanna hold your hand,"Written by John Lennon and Paul McCartney , and recorded in October 1963, it was the first Beatles record to be made using four-track equipment.",I Want to Hold Your Hand,0,year beatles came song wan na hold hand,written john lennon paul mccartney recorded october 1963 first beatles record made using fourtrack equipment .
Q534,what year did the beatles came out with the song i wanna hold your hand,"With advance orders exceeding one million copies in the United Kingdom, ""I Want to Hold Your Hand"" would ordinarily have gone straight to the top of the British record charts on its day of release (29 November 1963) had it not been blocked by the group's first million seller "" She Loves You "", the Beatles' previous UK single, which was having a resurgent spell in the top position following intense media coverage of the group.",I Want to Hold Your Hand,0,year beatles came song wan na hold hand,advance order exceeding one million copy united kingdom want hold hand would ordinarily gone straight top british record chart day release 29 november 1963 blocked group first million seller love beatles previous uk single resurgent spell top position following intense medium coverage group .
Q535,what is a gasser car,A gasser was a type of hot rod originating on the dragstrips of the United States in the late 1950s and continued until the early 1970s.,Gasser (car),0,gasser car,gasser type hot rod originating dragstrips united state late 1950s continued early 1970s .
Q536,what tensions preceded the berlin blockade,"Their aim was to force the western powers to allow the Soviet zone to start supplying Berlin with food and fuel, thereby giving the Soviets practical control over the entire city.",Berlin Blockade,0,tension preceded berlin blockade,aim force western power allow soviet zone start supplying berlin food fuel thereby giving soviet practical control entire city .
Q537,who sang proud mary,"""Proud Mary"" is a rock song written by American singer-songwriter and multi-instrumentalist John Fogerty , and recorded by his band Creedence Clearwater Revival .",Proud Mary,0,sang proud mary,proud mary rock song written american singersongwriter multiinstrumentalist john fogerty recorded band creedence clearwater revival .
Q538,who sang that song-a change is going to come,"""A Change Is Gonna Come"" is a 1964 single by R&B singer-songwriter Sam Cooke , written and first recorded in 1963 and released under the RCA Victor label shortly after his death in late 1964.",A Change Is Gonna Come,7,sang songa change going come,change gon na come 1964 single rb singersongwriter sam cooke written first recorded 1963 released rca victor label shortly death late 1964 .
Q539,where do crocodiles live,"Crocodiles (subfamily Crocodylinae) or true crocodiles are large aquatic tetrapods that live throughout the tropics in Africa , Asia , the Americas and Australia .",Crocodile,0,crocodile live,crocodile subfamily crocodylinae true crocodile large aquatic tetrapod live throughout tropic africa asia america australia .
Q540,what percentage of the human body is water,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight.",Body water,0,percentage human body water,arthur guyton textbook medical physiology state total amount water man average weight 70 kilogram approximately 40 litre averaging 57 percent total body weight .
Q541,what relates to erosion,"Erosion is the process by which soil and rock are removed from the Earth's surface by exogenetic processes such as wind or water flow, and then transported and deposited in other locations.",Erosion,0,relates erosion,erosion process soil rock removed earth surface exogenetic process wind water flow transported deposited location .
Q542,what relates to erosion,"Water and wind erosion are now the two primary causes of land degradation ; combined, they are responsible for 84% of degraded acreage, making excessive erosion one of the most significant global environmental problems.",Erosion,0,relates erosion,water wind erosion two primary cause land degradation combined responsible 84 degraded acreage making excessive erosion one significant global environmental problem .
