intent,answer,number
3,Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.,468
3,"Dim sum is also well known for the unique way it is served in some restaurants, wherein fully cooked and ready-to-serve dim sum dishes are carted around the restaurant for customers to choose their orders while seated at their tables.",469
3,"Eating dim sum at a restaurant is usually known in Cantonese as going to ""drink tea"" ( yum cha , ______©______£______²______¨_), as tea is typically served with dim sum.",470
3,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012.",471
3,Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .,472
3,"Held in Kemper Arena in Kansas City , Missouri , the convention nominated President Gerald Ford for a full term, but only after narrowly defeating a strong challenge from former California Governor Ronald Reagan .",473
3,"It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises.",474
3,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .,475
3,"Most of the city is in Oakland County, and is surrounded by the city of Novi .",476
3,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI).",477
3,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion.",478
3,"The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage.",479
3,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark.",480
3,"Elijah J. McCoy (May 2, 1844 _ October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines.",481
3,", Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area .",482
3,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons.",483
3,"Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage.",484
3,"Modern manufactured jerky is normally marinated in a seasoned spice rub or liquid, and dried, dehydrated or smoked with low heat (usually under 70 ________°C/160 ________°F).",485
3,.eu is the country code top-level domain (ccTLD) for the European Union (EU).,486
3,"Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart ).",487
3,"During this event a very large number of the impact craters on the Moon would have formed, and by inference on Earth , Mercury , Venus and Mars as well.",488
3,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents.",489
3,"Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations.",490
3,Tycho was well known in his lifetime as an astronomer and alchemist .,491
3,"Four complete seasons aired, ending on February 8, 2010.",492
3,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers.",493
3,"Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors.",494
3,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person.",495
3,"Depending on the contract, other events such as terminal illness or critical illness may also trigger payment.",496
3,"Protection policies _ designed to provide a benefit in the event of specified event, typically a lump sum payment.",497
3,9 _ 12 February (Vietnam),498
3,"The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division.",499
3,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide.",500
3,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material.",501
3,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America.",502
3,It is calculated as total bases divided by at bats :,503
3,"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March.",504
3,"Goat cheese, or ch________¨vre (from the French word for goat), is cheese made out of the milk of goats .",505
3,"Its duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions.",506
3,"Belize , is a country located on the northeastern coast of Central America.",507
3,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.,508
3,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .,509
3,"However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only __urring cats_ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr.",510
3,"Fields is currently a meteorologist for the CBS owned and operated television stations KCBS-TV and KCAL-TV in Los Angeles, California.",511
3,"Fields can also be heard on the radio on K-EARTH 101 KRTH , KNX-AM and KFWB in Los Angeles.",512
3,"St. Elizabeth is a village in Miller County , Missouri , United States .",513
3,"Wilton is a census-designated place (CDP) in Sacramento County , California , United States .",514
3,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin .",515
3,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards .",516
3,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war.",517
3,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home.",518
3,"The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons.",519
3,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration .",520
3,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .,521
3,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture .",522
3,"LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose .",523
3,"However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible.",524
3,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States.",525
3,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article.",526
3,"Ultimately, the Spanish Crown ceded the colony to United States rule.",527
3,"Orono is a town in Penobscot County , Maine , United States .",528
3,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project.",529
3,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia .",530
3,"Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships.",531
3,"In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean _ they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans.",532
3,"It is the county seat of Duval County , with which the city government consolidated in 1968.",533
3,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC .",534
3,The blue color of liquid oxygen in a dewar flask,535
3,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .,536
3,"Mens rea is Latin for ""guilty mind"".",537
3,"A drug test is a technical analysis of a biological specimen _ for example urine, hair, blood, sweat, or oral fluid / saliva _ to determine the presence or absence of specified parent drugs or their metabolites .",538
3,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller__ typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee.",539
3,"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim"".",540
3,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).,541
3,"""My two cents"" (2________¢) and its longer version ""put my two cents in"" is an United States (US) idiomatic expression, taken from the original English idiom expression: to put in ""my two pennies worth"" or ""my tuppence worth.""",542
3,"Including human capital such as skills, the United Nations estimated the total wealth of the United States in 2008 to be $118 trillion.",543
3,"to indicate the precision of an approximation , or",544
3,to indicate a value that can be of either sign.,545
3,"The Moon is thought to have formed nearly 4.5 billion years ago, not long after the Earth.",546
3,"Although there have been several hypotheses for its origin in the past, the current most widely accepted explanation is that the Moon formed from the debris left over after a giant impact between Earth and a Mars -sized body.",547
3,"As president, Reagan implemented sweeping new political and economic initiatives.",548
3,"Judgment as a matter of law (JMOL) is a motion made by a party, during trial, claiming the opposing party has insufficient evidence to reasonably support its case.",549
3,"Four sitting presidents have been killed: Abraham Lincoln (the 16th President), James A. Garfield (the 20th President), William McKinley (the 25th President) and John F. Kennedy (the 35th President).",550
3,"A major producer of natural gas , oil , and agriculture, Oklahoma relies on an economic base of aviation, energy, telecommunications, and biotechnology .",551
3,There have been twenty-two novels and two picture books published.,552
3,"Hostilities began on April 12, 1861, when Confederate forces fired upon Fort Sumter , a key fort held by Union troops in South Carolina.",553
3,"William Bruce Jenner (born October 28, 1949) is a former U.S. track and field athlete , motivational speaker , socialite , television personality and businessman .",554
3,Some authors also define an alkali as a base that dissolves in water .,555
3,Area code 217 is the North American telephone area code for much of western and central Illinois .,556
3,"The 217 area includes Illinois' capital , Springfield , plus Champaign , Urbana , Decatur , Danville , Quincy , and Rantoul .",557
3,"Jameson is similar in its adherence to the single distillery principle to the single malt tradition, but Jameson blends column still spirit with Single pot still whiskey , a combination of malted barley with unmalted or ""green"" barley distilled in a pot still.",558
3,"""Gloria in excelsis Deo"" ( Latin for ""Glory to God in the highest"") is a hymn known also as the Greater Doxology (as distinguished from the ""Minor Doxology"" or Gloria Patri ) and the Angelic Hymn.",559
3,"In finance , a bond is an instrument of indebtedness of the bond issuer to the holders.",560
3,"Bonds and stocks are both securities , but the major difference between the two is that (capital) stockholders have an equity stake in the company (i.e. they are owners), whereas bondholders have a creditor stake in the company (i.e. they are lenders).",561
3,You are {},562
3,Your name is {},563
3,"I remember, you are {}",564
3,You are {},565
3,"I'm your AI assistant, here to help you with whatever you need.",566
3,"I'm a conversational AI designed to assist with various tasks, answer questions, and make your life a bit easier.",567
3,"I can assist with answering questions, providing recommendations and more.",568
3,"No, I'm not a real person, but I'm here to simulate helpful conversations and offer any assistance you need.",569
3,"I'm a virtual assistant created to help, inform, and chat with you.",570
